Admiralty	14390	1210	670	5810	6700	0	0	20
Airport Road	0	0	0	0	0	0	0	0
Alexandra Hill	15140	4750	2850	4170	3380	0	0	510
Alexandra North	0	0	0	0	0	990	0	10
Aljunied	29920	2340	10650	10000	6920	9940	560	1290
Anak Bukit	5640	0	50	2260	3330	8430	7650	270
Anchorvale	38030	990	930	13770	22350	0	0	0
Ang Mo Kio Town Centre	3250	0	460	730	2060	1730	0	40
Anson	0	0	0	0	0	0	0	0
Balestier	21690	2220	7890	6490	5090	9220	530	900
Bangkit	22440	0	3140	13400	5900	1360	0	10
Bayfront Subzone	0	0	0	0	0	0	0	0
Bayshore	0	0	0	0	0	6870	460	140
Bedok North	76470	3750	34660	26630	11430	4220	4670	580
Bedok Reservoir	19050	0	3220	9120	6720	6280	0	60
Bedok South	33320	1740	9710	14460	7410	5650	11770	450
Bencoolen	1070	40	900	130	0	330	0	70
Bendemeer	29040	1730	9280	11810	6220	3640	670	480
Benoi Sector	0	0	0	0	0	0	0	0
Bidadari	0	0	0	0	0	0	0	0
Bishan East	27360	300	2070	11940	13050	1290	0	170
Boat Quay	0	0	0	0	0	120	0	60
Boon Keng	10730	1020	2500	4540	2670	40	140	60
Boon Lay Place	29820	4540	15500	4640	5140	1240	0	50
Boon Teck	14810	5530	4210	1320	3760	0	0	300
Boulevard	0	0	0	0	0	340	0	60
Braddell	9690	1730	3160	2050	2750	1030	0	50
Bras Basah	0	0	0	0	0	0	0	0
Brickworks	0	0	0	0	0	0	0	0
Bugis	2220	0	1190	1010	20	20	0	90
Bukit Batok Central	24580	1290	4160	11520	7610	1430	0	60
Bukit Batok East	14430	0	6510	5590	2340	0	0	140
Bukit Batok South	11970	0	0	6260	5710	1260	680	40
Bukit Batok West	15140	0	5580	6090	3470	0	0	60
Bukit Ho Swee	15680	4190	6070	3460	1970	520	0	100
Bukit Merah	1150	0	160	10	980	0	0	40
Cairnhill	0	0	0	0	0	2760	430	150
Cecil	0	0	0	0	0	120	0	40
