MARINA SOUTH	0	0	0	0	0	0	0	0
PEARL'S HILL	6900	5330	1240	300	20	1060	0	270
BOAT QUAY	0	0	0	0	0	120	0	60
HENDERSON HILL	12670	4750	4090	2880	960	160	0	40
REDHILL	11230	2200	2450	3200	3390	860	0	120
ALEXANDRA HILL	15140	4750	2850	4170	3380	0	0	510
BUKIT HO SWEE	15680	4190	6070	3460	1970	520	0	100
CLARKE QUAY	0	0	0	0	0	50	0	80
TELOK BLANGAH RISE	12820	960	4630	5980	1250	720	190	90
TANJONG PAGAR	0	0	0	0	0	420	0	100
EVERTON PARK	8310	620	1940	2240	3520	410	190	100
TELOK BLANGAH WAY	10610	2270	4990	1750	1590	0	0	80
MAXWELL	0	0	0	0	0	0	0	0
CECIL	0	0	0	0	0	120	0	40
KAMPONG TIONG BAHRU	10270	2330	4630	2050	1270	0	0	190
TELOK BLANGAH DRIVE	15610	1540	4740	5510	3820	300	30	60
PASIR PANJANG 2	0	0	0	0	0	1680	1770	60
PASIR PANJANG 1	0	0	0	0	0	2470	1450	80
QUEENSWAY	0	0	0	0	0	250	20	10
KENT RIDGE	0	0	0	0	0	1000	70	10
ALEXANDRA NORTH	0	0	0	0	0	990	0	10
MARINA EAST	0	0	0	0	0	0	0	0
INSTITUTION HILL	0	0	0	0	0	3320	40	20
ROBERTSON QUAY	0	0	0	0	0	2390	0	30
JURONG ISLAND AND BUKOM	0	0	0	0	0	0	0	0
SUDONG	0	0	0	0	0	0	0	0
SEMAKAU	0	0	0	0	0	0	0	0
SOUTHERN GROUP	0	0	0	0	0	0	0	0
SENTOSA	0	0	0	0	0	890	550	40
CITY TERMINALS	0	0	0	0	0	0	0	0
ANSON	0	0	0	0	0	0	0	0
STRAITS VIEW	0	0	0	0	0	0	0	0
MARITIME SQUARE	0	0	0	0	0	2300	100	160
CENTRAL SUBZONE	0	0	0	0	0	450	0	20
SINGAPORE GENERAL HOSPITAL	0	0	0	0	0	0	0	0
PEOPLE'S PARK	0	0	0	0	0	380	0	10
BUKIT MERAH	1150	0	160	10	980	0	0	40
CHINATOWN	11260	1140	2900	5040	2170	330	0	280
PHILLIP	0	0	0	0	0	0	0	0
RAFFLES PLACE	0	0	0	0	0	0	0	0
CHINA SQUARE	1530	0	1460	0	70	50	0	10
TIONG BAHRU	11800	320	2870	6100	2510	280	10	110
BAYFRONT SUBZONE	0	0	0	0	0	0	0	0
TIONG BAHRU STATION	15280	1880	790	7680	4920	1370	0	20
CLIFFORD PIER	0	0	0	0	0	0	0	0
CHATSWORTH	0	0	0	0	0	4600	1000	140
PIONEER SECTOR	0	0	0	0	0	0	0	0
PENJURU CRESCENT	0	0	0	0	0	0	0	0
ORANGE GROVE	0	0	0	0	0	1430	0	0
DOVER	10620	490	3280	3810	3050	2340	40	190
BOULEVARD	0	0	0	0	0	340	0	60
ISTANA NEGARA	0	0	0	0	0	0	0	0
LITTLE INDIA	3350	0	1390	1690	280	80	30	400
GUL BASIN	0	0	0	0	0	0	0	0
RIDOUT	0	0	0	0	0	580	790	40
CAIRNHILL	0	0	0	0	0	2760	430	150
CLEMENTI WEST	13890	0	8300	4330	1250	2250	230	100
KATONG	0	0	0	0	0	4960	4340	320
KAMPONG BUGIS	760	0	0	640	130	110	0	20
KAMPONG GLAM	0	0	0	0	0	30	0	150
SELEGIE	0	0	0	0	0	220	30	20
MOUNT EMILY	0	0	0	0	0	1000	60	40
JOO KOON	0	0	0	0	0	0	0	0
KALLANG WAY	0	0	0	0	0	0	0	0
INTERNATIONAL BUSINESS PARK	0	0	0	0	0	0	0	0
TUKANG	0	0	0	0	0	0	0	0
CORONATION ROAD	0	0	0	0	0	1930	3960	280
KEMBANGAN	24460	3570	7750	5600	7540	4970	8420	590
FORT CANNING	0	0	0	0	0	150	0	10
MARINA EAST (MP)	0	0	0	0	0	0	0	0
MARINA CENTRE	0	0	0	0	0	0	0	0
SOMERSET	0	0	0	0	0	110	0	20
BENCOOLEN	1070	40	900	130	0	330	0	70
COMMONWEALTH	8100	1890	5930	280	0	0	0	30
DEPOT ROAD	4000	0	0	1760	2240	1190	0	0
EAST COAST	0	0	0	0	0	0	0	0
NATIONAL UNIVERSITY OF S'PORE	0	0	0	0	0	0	0	360
ONE TREE HILL	0	0	0	0	0	1290	550	0
ROCHOR CANAL	0	0	0	0	0	0	0	0
CRAWFORD	9170	4860	2690	860	750	450	0	120
MARGARET DRIVE	10480	290	480	6660	3060	10	10	20
TANGLIN	0	0	0	0	0	380	0	10
MARINE PARADE	21690	3740	6910	5360	5690	6980	120	120
TANGLIN HALT	13110	1840	7570	3130	570	0	0	50
MACKENZIE	0	0	0	0	0	100	0	10
